央视IPV4,#genre#
健康养生,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000011000288006/index.m3u8?channel-id=bestzb&Contentid=5000000011000288006&livemode=1&stbId=hw
戏曲精选,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000011000288012/index.m3u8?channel-id=bestzb&Contentid=5000000011000288012&livemode=1&stbId=hw
百变课堂,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000011000288001/index.m3u8?channel-id=bestzb&Contentid=5000000011000288001&livemode=1&stbId=hw
天下精选,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000011000288007/index.m3u8?channel-id=bestzb&Contentid=5000000011000288007&livemode=1&stbId=hw
中国天气,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000005000031974/index.m3u8?channel-id=bestzb&Contentid=5000000005000031974&livemode=1&stbId=hw
纪实科教,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000011000031204/index.m3u8?channel-id=bestzb&Contentid=5000000011000031204&livemode=1&stbId=hw
东方影视,http://[2409:8087:5e20:24::d]:6610/000000001000/1/5000000010000032212/index.m3u8?channel-id=bestzb&Contentid=5000000010000032212&livemode=1&stbId=hw
卡酷少儿,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000011000265008/index.m3u8?channel-id=bestzb&Contentid=5000000011000265008&livemode=1&stbId=hw
新闻综合,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000011000031110/index.m3u8?channel-id=bestzb&Contentid=5000000011000031110&livemode=1&stbId=hw
法治天地,http://[2409:8087:5e20:24::d]:6610/000000001000/9001547084732463424/index.m3u8?channel-id=bestzb&Contentid=9001547084732463424&livemode=1&stbId=hw
东方财经,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000007000010003/index.m3u8?channel-id=bestzb&Contentid=5000000007000010003&livemode=1&stbId=hw
第一财经,http://[2409:8087:5e20:24::d]:6610/000000001000/1/5000000010000027146/index.m3u8?channel-id=bestzb&Contentid=5000000010000027146&livemode=1&stbId=hw
乐游频道,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000011000031112/index.m3u8?channel-id=bestzb&Contentid=5000000011000031112&livemode=1&stbId=hw
动漫秀场,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000011000031113/index.m3u8?channel-id=bestzb&Contentid=5000000011000031113&livemode=1&stbId=hw
哈哈炫动,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000011000031123/index.m3u8?channel-id=bestzb&Contentid=5000000011000031123&livemode=1&stbId=hw
欢笑剧场,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000002000009455/index.m3u8?channel-id=bestzb&Contentid=5000000002000009455&livemode=1&stbId=hw
都市剧场,http://[2409:8087:5e20:24::d]:6610/000000001000/1/5000000002000004412/index.m3u8?channel-id=bestzb&Contentid=5000000002000004412&livemode=1&stbId=hw
游戏风云,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000011000031114/index.m3u8?channel-id=bestzb&Contentid=5000000011000031114&livemode=1&stbId=hw
都市频道,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000010000018926/index.m3u8?channel-id=bestzb&Contentid=5000000010000018926&livemode=1&stbId=hw
